,Kandidátní listina,Poř.číslo,"Příjmení, jméno",Titul,Věk,Navrh.strana,Polit.přísl.,Absolutní hlasy,Hlasy v %,Pořadí,Mandát,Rok
1639,Česká str.sociálně demokrat.,29,Rýdl Lubomír,,64,ČSSD,ČSSD,1252,"2,65",24,,2014
1640,Karlovar.občanská alternativa,13,Řehořková Štěpánka Mgr.,Mgr.,50,KOA,KOA,2574,"2,94",4,,2014
1641,Karlovar.občanská alternativa,3,Samcová Domesová Lucie,,56,KOA,KOA,2844,"3,25",4,*,2014
1642,STAROSTOVÉ A NEZÁVISLÍ,21,Samec Jan Mgr.,Mgr.,58,STAN,BEZPP,570,"4,18",,,2014
1643,STAROSTOVÉ A NEZÁVISLÍ,27,Sarkisovová Hana Mgr.,Mgr.,52,STAN,BEZPP,328,"2,40",,,2014
1644,TOP 09,16,Sedláčková Blanka,,29,TOP 09,BEZPP,550,"2,89",,,2014
1645,PRO Svobodné Vary,17,Semera Josef,,39,Svobodní,BEZPP,339,"2,83",,,2014
1646,"OCJJ, KDU-ČSL, Piráti, SZ",35,Schafer Ivan,,66,OCJJ,BEZPP,652,"2,14",32,,2014
1647,Občanská demokratická strana,29,Schmid Martin,,46,ODS,ODS,657,"2,48",27,,2014
1648,Občanská demokratická strana,28,Schmid Petr,,51,ODS,ODS,656,"2,47",26,,2014
1649,Karlovar.občanská alternativa,6,Slába Zdeněk,,68,KOA,KOA,2684,"3,07",6,*,2014
1650,Karlovar.občanská alternativa,32,Slábová Eva,,68,KOA,KOA,2084,"2,38",23,,2014
1651,PRO Svobodné Vary,24,Slabý Petr,,26,Svobodní,BEZPP,326,"2,73",,,2014
1652,ANO 2011,28,Slavkovská Markéta,,39,ANO,BEZPP,1699,"2,69",22,,2014
1653,"OCJJ, KDU-ČSL, Piráti, SZ",28,Slavotínek Michal MUDr.,MUDr.,43,KDU-ČSL,KDU-ČSL,821,"2,70",25,,2014
1654,Komunistická str.Čech a Moravy,23,Slivoň Karol,,65,KSČM,BEZPP,1020,"2,75",20,,2014
1655,TOP 09,12,Smutný Miroslav,,58,TOP 09,TOP 09,517,"2,72",,,2014
1656,Karlovaráci,23,Smutný Pavel MUDr.,MUDr.,56,KVC,BEZPP,1499,"3,08",18,,2014
1657,Česká str.sociálně demokrat.,13,Snížková Květoslava Mgr.,Mgr.,43,ČSSD,ČSSD,1355,"2,87",8,,2014
