,Kandidátní listina,Poř.číslo,"Příjmení, jméno",Titul,Věk,Navrh.strana,Polit.přísl.,Absolutní hlasy,Hlasy v %,Pořadí,Mandát,Rok
0,Česká pravice,9,Adámek Petr,,54,ČP,BEZPP,419,2.41,,,2002
1,Karlovarská koalice,19,Andrejkivová Pavla,,56,KDU-ČSL,KDU-ČSL,3158,3.14,4,*,2002
2,Karlovarská koalice,20,Antonik Jozef,,58,VPM,BEZPP,2588,2.57,11,,2002
3,Komunistická str.Čech a Moravy,14,Aubrecht Miroslav,,73,KSČM,KSČM,1858,2.58,8,,2002
4,Strana zelených,9,Balák Libor,,41,SZ,BEZPP,1229,4.35,2,,2002
5,Strana zelených,25,Bank Roman,,26,SZ,BEZPP,614,2.17,23,,2002
6,NEZÁVISLÍ,30,Barešová Petra,,19,NEZ,BEZPP,157,2.30,,,2002
7,Občanská demokratická strana,28,Bártík Josef,Ing. ,73,ODS,ODS,3001,2.46,18,,2002
8,Občanská demokratická strana,32,Bartoš Bohumil,,64,ODS,ODS,2883,2.36,22,,2002
9,Česká str.sociálně demokrat.,7,Bartoš Richard,,54,ČSSD,ČSSD,2360,2.76,3,,2002
10,NEZÁVISLÍ,4,Bártů Miluše,,38,NEZ,NEZ,213,3.12,,,2002
11,Občanská demokratická strana,3,Bauer Josef,,52,ODS,ODS,3458,2.83,6,*,2002
12,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",27,Bauše Vlastimil,,62,NK,BEZPP,502,2.06,,,2002
13,Karlovarská koalice,29,Baxa Petr,,30,KDU-ČSL,KDU-ČSL,2405,2.39,20,,2002
14,Strana demokrat.socialismu,4,Benda Václav,,29,SDS,BEZPP,206,2.86,,,2002
15,NEZÁVISLÍ,13,Beneš Martin,,36,NEZ,BEZPP,167,2.45,,,2002
16,Česká pravice,14,Beneš Pavel,,30,ČP,BEZPP,360,2.07,,,2002
17,NEZÁVISLÍ,10,Benešová Lucie,,19,NEZ,BEZPP,178,2.61,,,2002
18,Karlovarská koalice,12,Beran František,,47,KDU-ČSL,KDU-ČSL,2519,2.50,5,,2002
19,Strana demokrat.socialismu,3,Beran Vladimír,MUDr. ,63,SDS,BEZPP,381,5.30,,,2002
20,Strana demokrat.socialismu,7,Beránek Ladislav,,70,SDS,BEZPP,158,2.19,,,2002
21,Komunistická str.Čech a Moravy,5,Bešťáková Kamila,PhDr. ,58,KSČM,KSČM,2208,3.07,3,*,2002
22,NEZÁVISLÍ,16,Bláha František,,31,NEZ,BEZPP,152,2.23,,,2002
23,Strana za životní jistoty,3,Blahoutová Alena,,37,SŽJ,SŽJ,186,20.52,,,2002
24,Česká pravice,32,Blumentrit Arnošt,,65,ČP,BEZPP,318,1.83,,,2002
25,Komunistická str.Čech a Moravy,2,Borka Jaroslav,Mgr. ,50,KSČM,KSČM,2276,3.17,2,*,2002
26,Sdružení nezávislých,18,Böse František,,52,SNK ED,BEZPP,1252,2.72,14,,2002
27,"Sdružení ČSNS, NK",21,Bouchal Jan,,31,ČSNS,ČSNS,86,2.30,,,2002
28,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",6,Bouška Pavel,MUDr. ,39,ODA,ODA,1408,5.78,,,2002
29,NEZÁVISLÍ,24,Brabcová Romana,,32,NEZ,BEZPP,144,2.11,,,2002
30,Karlovarská koalice,25,Brdlík Jiří,MUDr. ,45,VPM,BEZPP,2937,2.92,16,,2002
31,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",4,Brož Jiří,Mgr. ,33,ODA,ODA,685,2.81,,,2002
32,Komunistická str.Čech a Moravy,28,Bruner Adolf,,75,KSČM,KSČM,1799,2.50,22,,2002
33,Strana demokrat.socialismu,22,Bubník František,,73,SDS,BEZPP,138,1.92,,,2002
34,Strana demokrat.socialismu,23,Bunešová Jaroslava,,59,SDS,BEZPP,135,1.87,,,2002
35,Sdružení nezávislých,25,Bunganič Vsevolod,Ing. ,58,SNK ED,BEZPP,1011,2.19,21,,2002
36,Sdružení nezávislých,13,Bursík Kamil,Ing. ,63,SNK ED,BEZPP,1619,3.52,4,*,2002
37,Pravý Blok,10,Celer Alexander,,68,PB,BEZPP,47,4.90,,,2002
38,Česká str.sociálně demokrat.,13,Cenov Valentin,Ing. ,59,ČSSD,ČSSD,2398,2.81,7,,2002
39,Strana zelených,26,Czerneková Jana,,58,SZ,BEZPP,643,2.27,24,,2002
40,"Sdružení ČSNS, NK",17,Čábela Jaroslav,,55,ČSNS,ČSNS,139,3.73,,,2002
41,Česká str.sociálně demokrat.,36,Čapková Helena,,35,ČSSD,ČSSD,1899,2.22,29,,2002
42,Strana za životní jistoty,23,Čejková Jarmila,,68,SŽJ,SŽJ,77,8.49,,,2002
43,Česká str.sociálně demokrat.,12,Čermák Jindřich,,20,ČSSD,ČSSD,2339,2.74,6,,2002
44,Karlovarská koalice,11,Čermáková Anna,MVDr. ,52,US-DEU,BEZPP,3059,3.04,6,*,2002
45,Strana zelených,28,Česká Jana,,28,SZ,BEZPP,593,2.10,26,,2002
46,NEZÁVISLÍ,15,Čičalová Veronika,,20,NEZ,BEZPP,190,2.79,,,2002
47,Komunistická str.Čech a Moravy,35,Čiriková Vladislava,,62,KSČM,KSČM,1763,2.45,29,,2002
48,Občanská demokratická strana,33,Daniš Vlastimil,,75,ODS,ODS,2816,2.30,23,,2002
49,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",9,David Viktor,,46,NK,US-DEU,645,2.65,,,2002
50,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",37,Davidová Helena,,44,NK,BEZPP,390,1.60,,,2002
51,Česká str.sociálně demokrat.,8,Dietz Jiří,,36,ČSSD,ČSSD,2537,2.97,4,*,2002
52,Česká str.sociálně demokrat.,34,Doleček Zdeněk,Mgr. ,79,ČSSD,ČSSD,1923,2.25,27,,2002
53,Komunistická str.Čech a Moravy,6,Doležalová Danuše,,57,KSČM,KSČM,1967,2.74,6,*,2002
54,Komunistická str.Čech a Moravy,25,Doležalová Marie,,70,KSČM,KSČM,1815,2.52,19,,2002
55,Sdružení nezávislých,36,Draská Michaela,,31,SNK ED,BEZPP,892,1.93,32,,2002
56,Pravý Blok,3,Drobková Olga,,72,PB,PB,47,4.90,,,2002
57,Karlovarská koalice,3,Duda Jan,Ing. ,41,US-DEU,US-DEU,2801,2.78,8,*,2002
58,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",15,Duda Josef,,38,ODA,ODA,535,2.19,,,2002
59,NEZÁVISLÍ,11,Dušková Martina,,29,NEZ,BEZPP,182,2.67,,,2002
60,Česká pravice,21,Dvorská Marie,,30,ČP,BEZPP,385,2.21,,,2002
61,"Sdružení ČSNS, NK",23,Dvořáková Monika,,34,NK,BEZPP,86,2.30,,,2002
62,Strana zelených,10,Erberová Soňa,Mgr. ,31,SZ,SZ,817,2.89,10,,2002
63,Česká pravice,20,Erlebach Ralph,,55,ČP,BEZPP,348,2.00,,,2002
64,Komunistická str.Čech a Moravy,3,Ettlerová Naděžda,,47,KSČM,KSČM,2128,2.96,4,*,2002
65,Karlovarská koalice,27,Feureisl Jiří,,71,VPM,BEZPP,2703,2.68,18,,2002
66,Strana demokrat.socialismu,26,Fiala Bohuslav,,63,SDS,BEZPP,136,1.89,,,2002
67,Česká str.sociálně demokrat.,11,Fiala Jaroslav,Ing. CSc.,46,ČSSD,ČSSD,2494,2.92,5,*,2002
68,Strana demokrat.socialismu,16,Fiala Ludvík,,35,SDS,BEZPP,166,2.30,,,2002
69,Strana demokrat.socialismu,35,Fiala Richard,,74,SDS,SDS,119,1.65,,,2002
70,Strana demokrat.socialismu,32,Fialová Alice,,69,SDS,BEZPP,126,1.75,,,2002
71,Sdružení nezávislých,38,Fidlerová Štěpánka,,18,SNK ED,BEZPP,848,1.84,34,,2002
72,Strana demokrat.socialismu,24,Förster Bruno,Ing. ,60,SDS,SDS,153,2.12,,,2002
73,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",31,Fukárek Ladislav,Mgr. ,37,NK,BEZPP,695,2.85,,,2002
74,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",13,Gabányiová Lucie,JUDr. ,40,ODA,ODA,1034,4.25,,,2002
75,Česká pravice,28,Gazdačko Jan,Ing. ,48,ČP,BEZPP,390,2.24,,,2002
76,Občanská demokratická strana,20,Gina Ladislav,,60,ODS,ODS,3072,2.51,10,,2002
77,Strana demokrat.socialismu,13,Graulík Josef,,46,SDS,BEZPP,144,2.00,,,2002
78,Česká str.sociálně demokrat.,23,Halada Václav,,44,ČSSD,ČSSD,2179,2.55,16,,2002
79,Sdružení nezávislých,7,Halířová Alena,Ing. ,32,SNK ED,BEZPP,1239,2.69,8,,2002
80,Komunistická str.Čech a Moravy,15,Hálová Marie,,69,KSČM,KSČM,1853,2.58,9,,2002
81,Sdružení nezávislých,6,Hampl Petr,Ing. ,43,SNK ED,BEZPP,1562,3.39,3,,2002
82,Strana zelených,15,Harna Karel,,38,SZ,BEZPP,710,2.51,14,,2002
83,Sdružení nezávislých,9,Havel Zdeněk,,46,SNK ED,BEZPP,1343,2.92,5,,2002
84,"Sdružení ČSNS, NK",2,Havlíček Josef,Mgr. ,60,ČSNS,ČSNS,301,8.08,,,2002
85,"Sdružení ČSNS, NK",25,Havlíček Josef,,28,NK,BEZPP,152,4.08,,,2002
86,Sdružení nezávislých,14,Havlíček Michal,Ing. ,31,SNK ED,BEZPP,1169,2.54,10,,2002
87,Sdružení nezávislých,16,Havlina Zdeněk,,54,SNK ED,BEZPP,1294,2.81,12,,2002
88,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",22,Havlovič Ivo,Ing. ,72,ODA,ODA,551,2.26,,,2002
89,Komunistická str.Čech a Moravy,32,Hejcman Milan,,76,KSČM,KSČM,1767,2.46,26,,2002
90,Občanská demokratická strana,7,Hejda Jiří,,36,ODS,ODS,3386,2.77,9,*,2002
91,Česká pravice,27,Hlavanová Jiřina,Ing. ,48,ČP,BEZPP,349,2.01,,,2002
92,Strana za životní jistoty,6,Hloušek Stanislav,,49,SŽJ,BEZPP,234,25.82,,,2002
93,Strana zelených,37,Hluchý Karel,Mgr. ,68,SZ,BEZPP,491,1.73,35,,2002
94,Česká pravice,17,Holeček Jiří,PaedDr. ,66,ČP,BEZPP,482,2.77,,,2002
95,Česká pravice,15,Holý Jiří,,38,ČP,BEZPP,480,2.76,,,2002
96,Komunistická str.Čech a Moravy,38,Honzák Jaroslav,,75,KSČM,KSČM,1652,2.30,32,,2002
97,Karlovarská koalice,4,Hořejš Vít,Ing. ,41,VPM,VPM,2960,2.94,9,*,2002
98,Strana zelených,20,Hozová Veronika,,40,SZ,BEZPP,672,2.38,19,,2002
99,Strana zelených,29,Hrubec Pavel,,23,SZ,BEZPP,598,2.11,27,,2002
100,Česká str.sociálně demokrat.,22,Hubený František,,87,ČSSD,ČSSD,2122,2.48,15,,2002
101,Strana zelených,13,Hulínský Milan,,26,SZ,BEZPP,708,2.50,12,,2002
102,Občanská demokratická strana,8,Hůrka Vladimír,Mgr. ,43,ODS,ODS,3561,2.92,5,*,2002
103,Česká str.sociálně demokrat.,4,Hybner Tomáš,,30,ČSSD,ČSSD,2452,2.87,7,*,2002
104,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",33,Hytman Jiří,,41,NK,BEZPP,461,1.89,,,2002
105,Česká pravice,36,Charalampievová Simona,,45,ČP,BEZPP,272,1.56,,,2002
106,Strana zelených,6,Chlapovič Miroslav,MUDr. ,48,SZ,SZ,1371,4.85,1,,2002
107,Strana demokrat.socialismu,25,Chlebecová Růžena,,67,SDS,BEZPP,137,1.90,,,2002
108,Sdružení nezávislých,10,Chmiel Jiří,,50,SNK ED,BEZPP,1234,2.68,9,,2002
109,Česká pravice,18,Chotívková Eva,,53,ČP,BEZPP,393,2.26,,,2002
110,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",20,Iliev Ivan,,35,NK,US-DEU,505,2.07,,,2002
111,Strana zelených,21,Jakovová Nikola,,26,SZ,BEZPP,613,2.17,20,,2002
112,NEZÁVISLÍ,6,Jakubcová Rosina,,37,NEZ,BEZPP,240,3.52,,,2002
113,Komunistická str.Čech a Moravy,36,Jaloševská Ludmila,,73,KSČM,KSČM,1701,2.37,30,,2002
114,Komunistická str.Čech a Moravy,37,Jaloševský Ladislav,,74,KSČM,KSČM,1676,2.33,31,,2002
115,Strana za životní jistoty,17,Jandl Martin,,29,SŽJ,BEZPP,154,16.99,,,2002
116,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",5,Jandová Jana,,48,NK,US-DEU,567,2.33,,,2002
117,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",23,Janeček Pavel,Ing. ,31,NK,BEZPP,535,2.19,,,2002
118,Česká pravice,1,Janisch Edmund,Ing. ,59,ČP,BEZPP,1138,6.55,,,2002
119,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",8,Janoušek Bohumír,,52,ODA,ODA,691,2.84,,,2002
120,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",12,Jánský Zdeněk,,37,NK,US-DEU,550,2.26,,,2002
121,Strana zelených,12,Jarkovská Eva,,20,SZ,BEZPP,660,2.33,11,,2002
122,Česká str.sociálně demokrat.,24,Ježková Miluška,,78,ČSSD,ČSSD,2111,2.47,17,,2002
123,Česká pravice,16,Jirglová Marie,Mgr. ,60,ČP,BEZPP,522,3.00,,,2002
124,Česká pravice,30,Jirkovský Martin,,33,ČP,BEZPP,321,1.84,,,2002
125,Sdružení nezávislých,30,Jiruchová Barbora,,22,SNK ED,BEZPP,983,2.13,26,,2002
126,Česká str.sociálně demokrat.,18,Jiřík Pavel,,24,ČSSD,ČSSD,2267,2.65,11,,2002
127,Česká str.sociálně demokrat.,25,Kadilak Miroslav,,53,ČSSD,ČSSD,2125,2.49,18,,2002
128,Česká pravice,26,Kadounová Martina,,38,ČP,BEZPP,327,1.88,,,2002
129,Občanská demokratická strana,36,Káchová Blažena,,75,ODS,ODS,2677,2.19,26,,2002
130,Komunistická str.Čech a Moravy,10,Kalina Jan,,60,KSČM,KSČM,1926,2.68,4,,2002
131,Karlovarská koalice,9,Kalina Petr,MUDr. ,55,US-DEU,BEZPP,2841,2.82,3,,2002
132,Komunistická str.Čech a Moravy,19,Kalina Stanislav,,72,KSČM,KSČM,1840,2.56,13,,2002
133,NEZÁVISLÍ,28,Kalina Štefan,,50,NEZ,BEZPP,137,2.01,,,2002
134,Česká pravice,22,Kaplánek Miroslav,Ing. ,62,ČP,BEZPP,460,2.64,,,2002
135,Strana zelených,23,Karas Jakub,,26,SZ,BEZPP,638,2.25,22,,2002
136,Sdružení nezávislých,19,Karásek Pavel,Ing. ,44,SNK ED,BEZPP,1208,2.62,15,,2002
137,Sdružení nezávislých,12,Karpowicz Igor,MUDr. ,42,SNK ED,BEZPP,1586,3.44,2,,2002
138,Strana zelených,30,Kemr David,,25,SZ,BEZPP,587,2.07,28,,2002
139,Strana zelených,19,Kemrová Michala,,23,SZ,BEZPP,652,2.30,18,,2002
140,Občanská demokratická strana,2,Keřka Petr,Ing. ,36,ODS,ODS,4244,3.48,1,*,2002
141,Komunistická str.Čech a Moravy,8,Kirchman Jan,,54,KSČM,KSČM,1951,2.71,2,,2002
142,Strana zelených,18,Klečková Šárka,,38,SZ,BEZPP,733,2.59,17,,2002
143,Občanská demokratická strana,35,Klimentová Zdeňka,,70,ODS,ODS,2748,2.25,25,,2002
144,Karlovarská koalice,34,Klingora Zdeněk,Ing. ,42,US-DEU,BEZPP,2401,2.38,25,,2002
145,Česká pravice,3,Knára Jan,MUDr. ,61,ČP,BEZPP,991,5.70,,,2002
146,"Sdružení ČSNS, NK",20,Kobilák Zdeněk,,48,ČSNS,ČSNS,85,2.28,,,2002
147,Strana zelených,32,Kolář Miloslav,,23,SZ,BEZPP,574,2.03,30,,2002
148,Česká str.sociálně demokrat.,26,Kolář Miroslav,,46,ČSSD,ČSSD,2189,2.56,19,,2002
149,Strana zelených,11,Kolář Václav,Ing. ,28,SZ,SZ,822,2.91,7,,2002
150,NEZÁVISLÍ,2,Komínová Vlasta,,42,NEZ,NEZ,327,4.80,,,2002
151,Česká str.sociálně demokrat.,35,Konopková Petra,,20,ČSSD,ČSSD,1918,2.24,28,,2002
152,Strana demokrat.socialismu,14,Kopáčková Jitka,Bc. ,46,SDS,BEZPP,169,2.35,,,2002
153,Strana demokrat.socialismu,27,Koptová Anna,,61,SDS,BEZPP,130,1.80,,,2002
154,Komunistická str.Čech a Moravy,27,Kosík Ladislav,,70,KSČM,KSČM,1819,2.53,21,,2002
155,"Sdružení ČSNS, NK",28,Kosnar Michal,,25,NK,BEZPP,87,2.33,,,2002
156,Karlovarská koalice,28,Kotek Jan,Akad. sochař ,46,US-DEU,BEZPP,2717,2.70,19,,2002
157,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",1,Kotek Jiří,Ing. ,45,ODA,ODA,1132,4.65,,,2002
158,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",14,Kouba Václav,Ing. ,39,NK,BEZPP,703,2.89,,,2002
159,Občanská demokratická strana,38,Koubová Vasilie,,45,ODS,ODS,2539,2.08,28,,2002
160,Karlovarská koalice,30,Kovář Zdeněk,Ing. ,42,US-DEU,US-DEU,2363,2.35,21,,2002
161,Občanská demokratická strana,24,Kovářík Jan,,53,ODS,ODS,3092,2.53,14,,2002
162,"Sdružení ČSNS, NK",27,Kozel František,,62,NK,BEZPP,89,2.38,,,2002
163,Strana demokrat.socialismu,36,Kozlík Jaroslav,,77,SDS,SDS,115,1.60,,,2002
164,Strana demokrat.socialismu,29,Kozlíková Anna,,61,SDS,SDS,130,1.80,,,2002
165,NEZÁVISLÍ,32,Králíková Ivana,,36,NEZ,BEZPP,142,2.08,,,2002
166,NEZÁVISLÍ,22,Krejčová Ivana,,39,NEZ,BEZPP,139,2.04,,,2002
167,Komunistická str.Čech a Moravy,13,Krejzlík Jindřich,,68,KSČM,KSČM,1877,2.61,7,,2002
168,Strana demokrat.socialismu,21,Kroft Ladislav,,57,SDS,BEZPP,155,2.15,,,2002
169,Strana demokrat.socialismu,5,Křečková Jana,,56,SDS,BEZPP,222,3.08,,,2002
170,Strana demokrat.socialismu,34,Křepelka Oldřich,PhDr. ,71,SDS,SDS,126,1.75,,,2002
171,Strana demokrat.socialismu,31,Křepelková Anna,,68,SDS,BEZPP,127,1.76,,,2002
172,NEZÁVISLÍ,35,Křepelová Jaroslava,,58,NEZ,BEZPP,125,1.83,,,2002
173,Česká pravice,23,Křížová Eva,,28,ČP,BEZPP,328,1.88,,,2002
174,NEZÁVISLÍ,18,Křížová Helena,,30,NEZ,BEZPP,157,2.30,,,2002
175,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",25,Kubrycht Pavel,Ing. ,44,NK,BEZPP,580,2.38,,,2002
176,Komunistická str.Čech a Moravy,12,Kucián František,,58,KSČM,BEZPP,1941,2.70,6,,2002
177,Komunistická str.Čech a Moravy,4,Kuciánová Milena,,55,KSČM,KSČM,2061,2.87,5,*,2002
178,Sdružení nezávislých,22,Kučera Jan,,33,SNK ED,BEZPP,1054,2.29,18,,2002
179,Sdružení nezávislých,29,Kučera Jan,,59,SNK ED,BEZPP,1034,2.24,25,,2002
180,Česká str.sociálně demokrat.,6,Kučera Miroslav,Ing. ,34,ČSSD,ČSSD,2459,2.88,2,,2002
181,NEZÁVISLÍ,14,Kukrál Pavel,Ing. ,37,NEZ,BEZPP,188,2.76,,,2002
182,Občanská demokratická strana,14,Kulhánek Vladimír,Mgr. ,63,ODS,ODS,3634,2.98,4,*,2002
183,Občanská demokratická strana,5,Kulík Záviš,Ing. ,59,ODS,ODS,3635,2.98,3,*,2002
184,"Sdružení ČSNS, NK",7,Kumšta Miroslav,,67,ČSNS,ČSNS,82,2.20,,,2002
185,"Sdružení ČSNS, NK",30,Kumštová Erika,,66,ČSNS,ČSNS,73,1.96,,,2002
186,Strana zelených,5,Kvasnička Vladimír,,46,SZ,BEZPP,876,3.10,3,,2002
187,Pravý Blok,9,Kysela Jiří,Ing. ,47,PB,BEZPP,135,14.09,,,2002
188,Občanská demokratická strana,13,Lami Jan,MUDr.Prim. ,35,ODS,ODS,3493,2.86,4,,2002
189,Sdružení nezávislých,5,Lamka Václav,Ing. ,52,SNK ED,BEZPP,1254,2.72,7,,2002
190,Česká pravice,13,Landová Jitka,MUDr. ,54,ČP,BEZPP,750,4.32,,,2002
191,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",10,Langer Tomáš,Ing. ,32,NK,BEZPP,718,2.95,,,2002
192,Česká str.sociálně demokrat.,1,Larva Václav,MUDr. ,58,ČSSD,ČSSD,3396,3.97,1,*,2002
193,Občanská demokratická strana,11,Laubová Dagmar,,43,ODS,ODS,3292,2.69,2,,2002
194,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",38,Lejsek Petr,,36,NK,BEZPP,400,1.64,,,2002
195,Sdružení nezávislých,11,Lepík Vlastimil,,52,SNK ED,BEZPP,1592,3.46,1,,2002
196,Česká pravice,25,Lepíková Klára,,27,ČP,BEZPP,431,2.48,,,2002
197,Česká str.sociálně demokrat.,16,Letal František,,55,ČSSD,ČSSD,2243,2.62,9,,2002
198,Strana zelených,4,Linhart Viktor,,25,SZ,BEZPP,842,2.98,5,,2002
199,Pravý Blok,7,Lintimer Jan,,64,PB,BEZPP,58,6.05,,,2002
200,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",18,Lískovec Vojtěch,MVDr. ,50,NK,BEZPP,891,3.66,,,2002
201,"Sdružení ČSNS, NK",26,Lomogová Jana,,46,NK,BEZPP,94,2.52,,,2002
202,Občanská demokratická strana,10,Lopata Petr,Ing. ,42,ODS,ODS,3330,2.73,1,,2002
203,NEZÁVISLÍ,37,Lučková Věra,,41,NEZ,BEZPP,125,1.83,,,2002
204,Občanská demokratická strana,12,Lukáš Robert,,29,ODS,ODS,3255,2.66,3,,2002
205,"Sdružení ČSNS, NK",29,Lukšík Jaroslav,Ing. ,54,NK,BEZPP,179,4.80,,,2002
206,Sdružení nezávislých,2,Lupínek Václav,Ing. ,48,SNK ED,BEZPP,1895,4.12,2,*,2002
207,Občanská demokratická strana,9,Maceška Otakar,Ing. ,51,ODS,ODS,3456,2.83,10,*,2002
208,Karlovarská koalice,31,Mader Milan,Ing. ,42,KDU-ČSL,KDU-ČSL,2299,2.28,22,,2002
209,Občanská demokratická strana,6,Makkiehová Monika,DiS. ,38,ODS,ODS,3427,2.81,8,*,2002
210,Komunistická str.Čech a Moravy,26,Malkusová Stanislava,,68,KSČM,KSČM,1846,2.57,20,,2002
211,Česká str.sociálně demokrat.,15,Marešová Barbora,,39,ČSSD,ČSSD,2303,2.69,8,,2002
212,Česká str.sociálně demokrat.,27,Marinová Žofie,,78,ČSSD,ČSSD,2052,2.40,20,,2002
213,Strana zelených,31,Martínek Jan,,44,SZ,BEZPP,577,2.04,29,,2002
214,Česká str.sociálně demokrat.,29,Mařík Antonín,,51,ČSSD,ČSSD,2098,2.45,22,,2002
215,Strana zelených,24,Mařík Karel,Ing. ,28,SZ,BEZPP,832,2.94,6,,2002
216,Sdružení nezávislých,4,Mařík Karel,Ing. ,31,SNK ED,BEZPP,1412,3.07,4,,2002
217,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",29,Masák Petr,Mgr. ,50,ODA,ODA,627,2.57,,,2002
218,Strana demokrat.socialismu,17,Masná Jitka,,57,SDS,SDS,173,2.40,,,2002
219,Strana demokrat.socialismu,11,Masná Soňa,,27,SDS,BEZPP,235,3.26,,,2002
220,Strana demokrat.socialismu,1,Masný Karel,MUDr. ,60,SDS,SDS,694,9.65,,,2002
221,Občanská demokratická strana,34,Mašatová Helena,,64,ODS,ODS,2897,2.37,24,,2002
222,NEZÁVISLÍ,5,Matějovská Jana,,35,NEZ,BEZPP,252,3.70,,,2002
223,Sdružení nezávislých,24,Matoušek Václav,Ing. ,43,SNK ED,BEZPP,1087,2.36,20,,2002
224,Pravý Blok,2,Matulay Jozef,,59,PB,PB,74,7.72,,,2002
225,Sdružení nezávislých,15,Maulenová Stanislava,MUDr. ,43,SNK ED,BEZPP,1217,2.64,11,,2002
226,Karlovarská koalice,17,Melichar Adolf,,59,KDU-ČSL,KDU-ČSL,2562,2.54,10,,2002
227,Strana za životní jistoty,10,Meyerová Hoppeová Margita,,62,SŽJ,SŽJ,81,8.94,,,2002
228,Komunistická str.Čech a Moravy,9,Michal Miloslav,,47,KSČM,KSČM,2000,2.78,3,,2002
229,Komunistická str.Čech a Moravy,22,Michalčín Peter,,73,KSČM,KSČM,1829,2.54,16,,2002
230,Karlovarská koalice,36,Michková Jana,Ing. ,38,US-DEU,US-DEU,2156,2.14,27,,2002
231,Karlovarská koalice,14,Misík Bořek,Mgr. ,58,VPM,BEZPP,2714,2.70,7,,2002
232,Česká pravice,31,Mňahončák Milan,,51,ČP,BEZPP,409,2.35,,,2002
233,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",17,Molnár Jiří,,32,NK,US-DEU,521,2.14,,,2002
234,Komunistická str.Čech a Moravy,24,Mora Josef,Ing. ,67,KSČM,KSČM,1840,2.56,18,,2002
235,"Sdružení ČSNS, NK",22,Muchová Olga,,57,NK,BEZPP,118,3.16,,,2002
236,Strana zelených,1,Mundl Michal,,35,SZ,BEZPP,1471,5.20,1,*,2002
237,Komunistická str.Čech a Moravy,1,Murčo Josef,,51,KSČM,KSČM,2368,3.30,1,*,2002
238,Strana demokrat.socialismu,2,Musil Zdeněk,PhDr. ,58,SDS,BEZPP,917,12.75,,,2002
239,Občanská demokratická strana,22,Nagyová Jana,,38,ODS,ODS,3126,2.56,12,,2002
240,Strana demokrat.socialismu,9,Náměstek Zdeněk,,57,SDS,BEZPP,173,2.40,,,2002
241,NEZÁVISLÍ,27,Navrátil Vít,,19,NEZ,BEZPP,170,2.49,,,2002
242,"Sdružení ČSNS, NK",16,Nečasová Hana,Mgr. ,44,ČSNS,ČSNS,134,3.59,,,2002
243,Komunistická str.Čech a Moravy,23,Němcová Hana,,65,KSČM,KSČM,1827,2.54,17,,2002
244,NEZÁVISLÍ,7,Nesnídalová Marta,,49,NEZ,BEZPP,257,3.77,,,2002
245,"Sdružení ČSNS, NK",14,Nová Agnesa,,56,ČSNS,ČSNS,107,2.87,,,2002
246,Strana zelených,17,Novák Antonín,,39,SZ,BEZPP,648,2.29,16,,2002
247,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",34,Novák Ladislav,Ing. ,35,NK,BEZPP,472,1.94,,,2002
248,Česká str.sociálně demokrat.,20,Novák Petr,,60,ČSSD,ČSSD,2193,2.56,13,,2002
249,Česká str.sociálně demokrat.,30,Nováková Jaroslava,,59,ČSSD,ČSSD,2019,2.36,23,,2002
250,Strana za životní jistoty,12,Nováková Marie,,59,SŽJ,SŽJ,84,9.27,,,2002
251,Karlovarská koalice,33,Novotný Petr,MUDr. ,37,KDU-ČSL,BEZPP,2338,2.32,24,,2002
252,Česká pravice,19,Ondráček Vilém,,31,ČP,BEZPP,370,2.13,,,2002
253,"Sdružení ČSNS, NK",8,Orbánová Liliana,,36,ČSNS,ČSNS,90,2.41,,,2002
254,Pravý Blok,4,Pachnerová Marie,Mgr. ,63,PB,PB,66,6.88,,,2002
255,Komunistická str.Čech a Moravy,21,Palička Stanislav,,72,KSČM,KSČM,1832,2.55,15,,2002
256,Karlovarská koalice,35,Pániková Daniela,,37,KDU-ČSL,KDU-ČSL,2221,2.21,26,,2002
257,Česká str.sociálně demokrat.,38,Panocha Josef,,37,ČSSD,ČSSD,1843,2.15,31,,2002
258,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",16,Papánek Josef,,51,NK,BEZPP,563,2.31,,,2002
